index;genre;totals;start_date;end_date
0;mellow_gold;875;1978-01-01;1982-12-31
1;soft_rock;920;1978-01-01;1982-12-31
2;adult_standards;358;1978-01-01;1982-12-31
3;brill_building_pop;85;1978-01-01;1982-12-31
4;rock;569;1978-01-01;1982-12-31
5;dance_pop;41;1978-01-01;1982-12-31
6;pop;18;1978-01-01;1982-12-31
7;soul;227;1978-01-01;1982-12-31
8;motown;253;1978-01-01;1982-12-31
9;pop_rap;7;1978-01-01;1982-12-31
10;rap;8;1978-01-01;1982-12-31
11;folk_rock;399;1978-01-01;1982-12-31
12;album_rock;608;1978-01-01;1982-12-31
13;classic_rock;549;1978-01-01;1982-12-31
14;quiet_storm;267;1978-01-01;1982-12-31
15;hip_hop;9;1978-01-01;1982-12-31
16;bubblegum_pop;177;1978-01-01;1982-12-31
17;rock-and-roll;31;1978-01-01;1982-12-31
18;funk;238;1978-01-01;1982-12-31
19;classic_soul;100;1978-01-01;1982-12-31
20;urban_contemporary;71;1978-01-01;1982-12-31
21;country;90;1978-01-01;1982-12-31
22;r&b;22;1978-01-01;1982-12-31
23;disco;369;1978-01-01;1982-12-31
24;post-teen_pop;5;1978-01-01;1982-12-31
25;new_wave_pop;220;1978-01-01;1982-12-31
26;country_rock;318;1978-01-01;1982-12-31
27;southern_soul;43;1978-01-01;1982-12-31
28;country_road;7;1978-01-01;1982-12-31
29;pop_rock;74;1978-01-01;1982-12-31
30;folk;178;1978-01-01;1982-12-31
31;southern_hip_hop;2;1978-01-01;1982-12-31
32;hard_rock;265;1978-01-01;1982-12-31
33;lounge;50;1978-01-01;1982-12-31
34;hip_pop;6;1978-01-01;1982-12-31
35;rhythm_and_blues;6;1978-01-01;1982-12-31
36;rockabilly;13;1978-01-01;1982-12-31
37;art_rock;226;1978-01-01;1982-12-31
38;dance_rock;138;1978-01-01;1982-12-31
39;new_jack_swing;35;1978-01-01;1982-12-31
40;merseybeat;11;1978-01-01;1982-12-31
41;classic_uk_pop;128;1978-01-01;1982-12-31
42;easy_listening;17;1978-01-01;1982-12-31
43;doo-wop;9;1978-01-01;1982-12-31
44;psychedelic_rock;62;1978-01-01;1982-12-31
45;gangster_rap;2;1978-01-01;1982-12-31
46;roots_rock;131;1978-01-01;1982-12-31
47;blues_rock;102;1978-01-01;1982-12-31
