index;genre;totals;start_date;end_date
0;mellow_gold;370;1963-01-01;1967-12-31
1;soft_rock;215;1963-01-01;1967-12-31
2;adult_standards;1024;1963-01-01;1967-12-31
3;brill_building_pop;1319;1963-01-01;1967-12-31
4;rock;275;1963-01-01;1967-12-31
5;dance_pop;16;1963-01-01;1967-12-31
6;pop;23;1963-01-01;1967-12-31
7;soul;674;1963-01-01;1967-12-31
8;motown;723;1963-01-01;1967-12-31
9;pop_rap;15;1963-01-01;1967-12-31
10;rap;14;1963-01-01;1967-12-31
11;folk_rock;586;1963-01-01;1967-12-31
12;album_rock;102;1963-01-01;1967-12-31
13;classic_rock;216;1963-01-01;1967-12-31
14;quiet_storm;222;1963-01-01;1967-12-31
15;hip_hop;15;1963-01-01;1967-12-31
16;bubblegum_pop;737;1963-01-01;1967-12-31
17;rock-and-roll;749;1963-01-01;1967-12-31
18;funk;269;1963-01-01;1967-12-31
19;classic_soul;537;1963-01-01;1967-12-31
20;urban_contemporary;5;1963-01-01;1967-12-31
21;country;38;1963-01-01;1967-12-31
22;disco;114;1963-01-01;1967-12-31
23;post-teen_pop;5;1963-01-01;1967-12-31
24;new_wave_pop;16;1963-01-01;1967-12-31
25;contemporary_country;5;1963-01-01;1967-12-31
26;country_rock;82;1963-01-01;1967-12-31
27;southern_soul;384;1963-01-01;1967-12-31
28;country_road;9;1963-01-01;1967-12-31
29;trap;1;1963-01-01;1967-12-31
30;pop_rock;1;1963-01-01;1967-12-31
31;folk;193;1963-01-01;1967-12-31
32;southern_hip_hop;14;1963-01-01;1967-12-31
33;hard_rock;31;1963-01-01;1967-12-31
34;lounge;356;1963-01-01;1967-12-31
35;rhythm_and_blues;331;1963-01-01;1967-12-31
36;rockabilly;246;1963-01-01;1967-12-31
37;art_rock;62;1963-01-01;1967-12-31
38;dance_rock;12;1963-01-01;1967-12-31
39;merseybeat;478;1963-01-01;1967-12-31
40;classic_uk_pop;198;1963-01-01;1967-12-31
41;easy_listening;296;1963-01-01;1967-12-31
42;doo-wop;234;1963-01-01;1967-12-31
43;psychedelic_rock;264;1963-01-01;1967-12-31
44;gangster_rap;1;1963-01-01;1967-12-31
45;roots_rock;75;1963-01-01;1967-12-31
46;blues_rock;79;1963-01-01;1967-12-31
