index;genre;totals;start_date;end_date
0;mellow_gold;746;1973-01-01;1977-12-31
1;soft_rock;725;1973-01-01;1977-12-31
2;adult_standards;471;1973-01-01;1977-12-31
3;brill_building_pop;239;1973-01-01;1977-12-31
4;rock;473;1973-01-01;1977-12-31
5;dance_pop;23;1973-01-01;1977-12-31
6;pop;21;1973-01-01;1977-12-31
7;soul;515;1973-01-01;1977-12-31
8;motown;546;1973-01-01;1977-12-31
9;pop_rap;2;1973-01-01;1977-12-31
10;rap;1;1973-01-01;1977-12-31
11;folk_rock;469;1973-01-01;1977-12-31
12;album_rock;451;1973-01-01;1977-12-31
13;classic_rock;502;1973-01-01;1977-12-31
14;quiet_storm;455;1973-01-01;1977-12-31
15;hip_hop;1;1973-01-01;1977-12-31
16;bubblegum_pop;303;1973-01-01;1977-12-31
17;rock-and-roll;67;1973-01-01;1977-12-31
18;funk;486;1973-01-01;1977-12-31
19;classic_soul;460;1973-01-01;1977-12-31
20;urban_contemporary;47;1973-01-01;1977-12-31
21;country;74;1973-01-01;1977-12-31
22;r&b;6;1973-01-01;1977-12-31
23;disco;482;1973-01-01;1977-12-31
24;post-teen_pop;2;1973-01-01;1977-12-31
25;new_wave_pop;74;1973-01-01;1977-12-31
26;contemporary_country;4;1973-01-01;1977-12-31
27;country_rock;387;1973-01-01;1977-12-31
28;southern_soul;280;1973-01-01;1977-12-31
29;country_road;3;1973-01-01;1977-12-31
30;trap;4;1973-01-01;1977-12-31
31;pop_rock;11;1973-01-01;1977-12-31
32;folk;271;1973-01-01;1977-12-31
33;southern_hip_hop;2;1973-01-01;1977-12-31
34;hard_rock;201;1973-01-01;1977-12-31
35;lounge;71;1973-01-01;1977-12-31
36;rhythm_and_blues;21;1973-01-01;1977-12-31
37;rockabilly;24;1973-01-01;1977-12-31
38;art_rock;190;1973-01-01;1977-12-31
39;dance_rock;35;1973-01-01;1977-12-31
40;new_jack_swing;12;1973-01-01;1977-12-31
41;merseybeat;15;1973-01-01;1977-12-31
42;classic_uk_pop;189;1973-01-01;1977-12-31
43;easy_listening;39;1973-01-01;1977-12-31
44;doo-wop;23;1973-01-01;1977-12-31
45;psychedelic_rock;99;1973-01-01;1977-12-31
46;roots_rock;183;1973-01-01;1977-12-31
47;blues_rock;196;1973-01-01;1977-12-31
