index;genre;totals;start_date;end_date
0;mellow_gold;6;2008-01-01;2012-12-31
1;soft_rock;1;2008-01-01;2012-12-31
2;adult_standards;6;2008-01-01;2012-12-31
3;rock;60;2008-01-01;2012-12-31
4;dance_pop;738;2008-01-01;2012-12-31
5;pop;786;2008-01-01;2012-12-31
6;soul;6;2008-01-01;2012-12-31
7;pop_rap;579;2008-01-01;2012-12-31
8;rap;377;2008-01-01;2012-12-31
9;album_rock;1;2008-01-01;2012-12-31
10;classic_rock;1;2008-01-01;2012-12-31
11;quiet_storm;17;2008-01-01;2012-12-31
12;hip_hop;325;2008-01-01;2012-12-31
13;funk;6;2008-01-01;2012-12-31
14;urban_contemporary;242;2008-01-01;2012-12-31
15;country;343;2008-01-01;2012-12-31
16;r&b;257;2008-01-01;2012-12-31
17;post-teen_pop;639;2008-01-01;2012-12-31
18;new_wave_pop;8;2008-01-01;2012-12-31
19;contemporary_country;345;2008-01-01;2012-12-31
20;country_rock;15;2008-01-01;2012-12-31
21;country_road;327;2008-01-01;2012-12-31
22;trap;224;2008-01-01;2012-12-31
23;pop_rock;211;2008-01-01;2012-12-31
24;folk;5;2008-01-01;2012-12-31
25;southern_hip_hop;219;2008-01-01;2012-12-31
26;hard_rock;8;2008-01-01;2012-12-31
27;lounge;5;2008-01-01;2012-12-31
28;hip_pop;131;2008-01-01;2012-12-31
29;art_rock;1;2008-01-01;2012-12-31
30;new_jack_swing;13;2008-01-01;2012-12-31
31;easy_listening;1;2008-01-01;2012-12-31
32;gangster_rap;112;2008-01-01;2012-12-31
33;blues_rock;4;2008-01-01;2012-12-31
