index;Genre;Count;start_date;end_date
0;mellow_gold;11281;1978-01-01;1983-12-31
1;soft_rock;11861;1978-01-01;1983-12-31
2;adult_standards;4406;1978-01-01;1983-12-31
3;brill_building_pop;884;1978-01-01;1983-12-31
4;rock;7415;1978-01-01;1983-12-31
5;dance_pop;652;1978-01-01;1983-12-31
6;pop;286;1978-01-01;1983-12-31
7;soul;2872;1978-01-01;1983-12-31
8;motown;3169;1978-01-01;1983-12-31
9;pop_rap;50;1978-01-01;1983-12-31
10;rap;74;1978-01-01;1983-12-31
11;folk_rock;4462;1978-01-01;1983-12-31
12;album_rock;7657;1978-01-01;1983-12-31
13;classic_rock;6493;1978-01-01;1983-12-31
14;quiet_storm;3601;1978-01-01;1983-12-31
15;hip_hop;82;1978-01-01;1983-12-31
16;rock-and-roll;386;1978-01-01;1983-12-31
17;bubblegum_pop;1846;1978-01-01;1983-12-31
18;funk;2832;1978-01-01;1983-12-31
19;classic_soul;996;1978-01-01;1983-12-31
20;urban_contemporary;984;1978-01-01;1983-12-31
21;country;1167;1978-01-01;1983-12-31
22;r&b;444;1978-01-01;1983-12-31
23;disco;4712;1978-01-01;1983-12-31
24;post-teen_pop;70;1978-01-01;1983-12-31
25;new_wave_pop;4136;1978-01-01;1983-12-31
26;contemporary_country;0;1978-01-01;1983-12-31
27;country_rock;3229;1978-01-01;1983-12-31
28;country_road;130;1978-01-01;1983-12-31
29;southern_soul;419;1978-01-01;1983-12-31
30;trap;0;1978-01-01;1983-12-31
31;folk;1956;1978-01-01;1983-12-31
32;pop_rock;1038;1978-01-01;1983-12-31
33;southern_hip_hop;21;1978-01-01;1983-12-31
34;hard_rock;2929;1978-01-01;1983-12-31
35;lounge;581;1978-01-01;1983-12-31
36;hip_pop;63;1978-01-01;1983-12-31
37;rockabilly;178;1978-01-01;1983-12-31
38;rhythm_and_blues;15;1978-01-01;1983-12-31
39;art_rock;2843;1978-01-01;1983-12-31
40;dance_rock;2980;1978-01-01;1983-12-31
41;merseybeat;102;1978-01-01;1983-12-31
42;new_jack_swing;572;1978-01-01;1983-12-31
43;easy_listening;194;1978-01-01;1983-12-31
44;doo-wop;45;1978-01-01;1983-12-31
45;classic_uk_pop;1155;1978-01-01;1983-12-31
46;psychedelic_rock;616;1978-01-01;1983-12-31
47;gangster_rap;14;1978-01-01;1983-12-31
48;roots_rock;1389;1978-01-01;1983-12-31
