index;Genre;Count;start_date;end_date
0;mellow_gold;28;2018-01-01;2023-12-31
1;soft_rock;8;2018-01-01;2023-12-31
2;adult_standards;124;2018-01-01;2023-12-31
3;brill_building_pop;55;2018-01-01;2023-12-31
4;rock;36;2018-01-01;2023-12-31
5;dance_pop;1591;2018-01-01;2023-12-31
6;pop;3724;2018-01-01;2023-12-31
7;soul;10;2018-01-01;2023-12-31
8;motown;17;2018-01-01;2023-12-31
9;pop_rap;1886;2018-01-01;2023-12-31
10;rap;2298;2018-01-01;2023-12-31
11;folk_rock;5;2018-01-01;2023-12-31
12;album_rock;8;2018-01-01;2023-12-31
13;classic_rock;15;2018-01-01;2023-12-31
14;quiet_storm;1;2018-01-01;2023-12-31
15;hip_hop;638;2018-01-01;2023-12-31
16;rock-and-roll;9;2018-01-01;2023-12-31
17;bubblegum_pop;0;2018-01-01;2023-12-31
18;funk;1;2018-01-01;2023-12-31
19;classic_soul;1;2018-01-01;2023-12-31
20;urban_contemporary;116;2018-01-01;2023-12-31
21;country;1166;2018-01-01;2023-12-31
22;r&b;332;2018-01-01;2023-12-31
23;disco;0;2018-01-01;2023-12-31
24;post-teen_pop;1497;2018-01-01;2023-12-31
25;new_wave_pop;0;2018-01-01;2023-12-31
26;contemporary_country;1844;2018-01-01;2023-12-31
27;country_rock;0;2018-01-01;2023-12-31
28;country_road;1227;2018-01-01;2023-12-31
29;southern_soul;1;2018-01-01;2023-12-31
30;trap;1461;2018-01-01;2023-12-31
31;folk;0;2018-01-01;2023-12-31
32;pop_rock;229;2018-01-01;2023-12-31
33;southern_hip_hop;490;2018-01-01;2023-12-31
34;hard_rock;1;2018-01-01;2023-12-31
35;lounge;22;2018-01-01;2023-12-31
36;hip_pop;37;2018-01-01;2023-12-31
37;rockabilly;9;2018-01-01;2023-12-31
38;rhythm_and_blues;0;2018-01-01;2023-12-31
39;art_rock;1;2018-01-01;2023-12-31
40;dance_rock;0;2018-01-01;2023-12-31
41;merseybeat;0;2018-01-01;2023-12-31
42;new_jack_swing;0;2018-01-01;2023-12-31
43;easy_listening;47;2018-01-01;2023-12-31
44;doo-wop;0;2018-01-01;2023-12-31
45;classic_uk_pop;0;2018-01-01;2023-12-31
46;psychedelic_rock;1;2018-01-01;2023-12-31
47;gangster_rap;132;2018-01-01;2023-12-31
48;roots_rock;0;2018-01-01;2023-12-31
