index;Genre;Count;start_date;end_date
0;mellow_gold;9402;1983-01-01;1988-12-31
1;soft_rock;10524;1983-01-01;1988-12-31
2;adult_standards;1837;1983-01-01;1988-12-31
3;brill_building_pop;272;1983-01-01;1988-12-31
4;rock;7696;1983-01-01;1988-12-31
5;dance_pop;2086;1983-01-01;1988-12-31
6;pop;979;1983-01-01;1988-12-31
7;soul;2022;1983-01-01;1988-12-31
8;motown;2479;1983-01-01;1988-12-31
9;pop_rap;31;1983-01-01;1988-12-31
10;rap;267;1983-01-01;1988-12-31
11;folk_rock;2208;1983-01-01;1988-12-31
12;album_rock;7331;1983-01-01;1988-12-31
13;classic_rock;4797;1983-01-01;1988-12-31
14;quiet_storm;3608;1983-01-01;1988-12-31
15;hip_hop;252;1983-01-01;1988-12-31
16;rock-and-roll;82;1983-01-01;1988-12-31
17;bubblegum_pop;309;1983-01-01;1988-12-31
18;funk;2745;1983-01-01;1988-12-31
19;classic_soul;399;1983-01-01;1988-12-31
20;urban_contemporary;2226;1983-01-01;1988-12-31
21;country;101;1983-01-01;1988-12-31
22;r&b;1269;1983-01-01;1988-12-31
23;disco;3054;1983-01-01;1988-12-31
24;post-teen_pop;23;1983-01-01;1988-12-31
25;new_wave_pop;8213;1983-01-01;1988-12-31
26;contemporary_country;10;1983-01-01;1988-12-31
27;country_rock;495;1983-01-01;1988-12-31
28;country_road;10;1983-01-01;1988-12-31
29;southern_soul;263;1983-01-01;1988-12-31
30;trap;6;1983-01-01;1988-12-31
31;folk;800;1983-01-01;1988-12-31
32;pop_rock;1927;1983-01-01;1988-12-31
33;southern_hip_hop;37;1983-01-01;1988-12-31
34;hard_rock;2983;1983-01-01;1988-12-31
35;lounge;201;1983-01-01;1988-12-31
36;hip_pop;205;1983-01-01;1988-12-31
37;rockabilly;39;1983-01-01;1988-12-31
38;rhythm_and_blues;0;1983-01-01;1988-12-31
39;art_rock;2127;1983-01-01;1988-12-31
40;dance_rock;6187;1983-01-01;1988-12-31
41;merseybeat;15;1983-01-01;1988-12-31
42;new_jack_swing;2041;1983-01-01;1988-12-31
43;easy_listening;53;1983-01-01;1988-12-31
44;doo-wop;0;1983-01-01;1988-12-31
45;classic_uk_pop;637;1983-01-01;1988-12-31
46;psychedelic_rock;371;1983-01-01;1988-12-31
47;gangster_rap;28;1983-01-01;1988-12-31
48;roots_rock;598;1983-01-01;1988-12-31
