Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
10 Alimentación;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021-01-01 00:00:00+00:00;2906407
10 Alimentación;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022-01-01 00:00:00+00:00;3.0
10 Alimentación;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021-01-01 00:00:00+00:00;3.0
10 Alimentación;Total Nacional;16 País Vasco;valor absoluto;2022-01-01 00:00:00+00:00;2825248
10 Alimentación;Total Nacional;16 País Vasco;valor absoluto;2021-01-01 00:00:00+00:00;2422650
10 Alimentación;Total Nacional;16 País Vasco;porcentaje;2022-01-01 00:00:00+00:00;2.4
10 Alimentación;Total Nacional;16 País Vasco;porcentaje;2021-01-01 00:00:00+00:00;2.5
10 Alimentación;Total Nacional;17 Rioja La;valor absoluto;2022-01-01 00:00:00+00:00;1400004
10 Alimentación;Total Nacional;17 Rioja La;valor absoluto;2021-01-01 00:00:00+00:00;1232338
10 Alimentación;Total Nacional;17 Rioja La;porcentaje;2022-01-01 00:00:00+00:00;1.2
10 Alimentación;Total Nacional;17 Rioja La;porcentaje;2021-01-01 00:00:00+00:00;1.3
10 Alimentación;Total Nacional;18 Ceuta;valor absoluto;2022-01-01 00:00:00+00:00;0.0
10 Alimentación;Total Nacional;18 Ceuta;valor absoluto;2021-01-01 00:00:00+00:00;12459
10 Alimentación;Total Nacional;18 Ceuta;porcentaje;2022-01-01 00:00:00+00:00;0.0
10 Alimentación;Total Nacional;18 Ceuta;porcentaje;2021-01-01 00:00:00+00:00;0.0
10 Alimentación;Total Nacional;19 Melilla;valor absoluto;2022-01-01 00:00:00+00:00;0
10 Alimentación;Total Nacional;19 Melilla;valor absoluto;2021-01-01 00:00:00+00:00;0
10 Alimentación;Total Nacional;19 Melilla;porcentaje;2022-01-01 00:00:00+00:00;0.0
10 Alimentación;Total Nacional;19 Melilla;porcentaje;2021-01-01 00:00:00+00:00;0.0
11 Bebidas;Total Nacional;;valor absoluto;2022-01-01 00:00:00+00:00;19065960
11 Bebidas;Total Nacional;;valor absoluto;2021-01-01 00:00:00+00:00;17030457
11 Bebidas;Total Nacional;;porcentaje;2022-01-01 00:00:00+00:00;100.0
11 Bebidas;Total Nacional;;porcentaje;2021-01-01 00:00:00+00:00;100.0
11 Bebidas;Total Nacional;01 Andalucía;valor absoluto;2022-01-01 00:00:00+00:00;2372299
11 Bebidas;Total Nacional;01 Andalucía;valor absoluto;2021-01-01 00:00:00+00:00;2210597
11 Bebidas;Total Nacional;01 Andalucía;porcentaje;2022-01-01 00:00:00+00:00;12.4
11 Bebidas;Total Nacional;01 Andalucía;porcentaje;2021-01-01 00:00:00+00:00;13.0
11 Bebidas;Total Nacional;02 Aragón;valor absoluto;2022-01-01 00:00:00+00:00;537067
11 Bebidas;Total Nacional;02 Aragón;valor absoluto;2021-01-01 00:00:00+00:00;374427
11 Bebidas;Total Nacional;02 Aragón;porcentaje;2022-01-01 00:00:00+00:00;2.8
11 Bebidas;Total Nacional;02 Aragón;porcentaje;2021-01-01 00:00:00+00:00;2.2
11 Bebidas;Total Nacional;03 Asturias Principado de;valor absoluto;2022-01-01 00:00:00+00:00;83041
11 Bebidas;Total Nacional;03 Asturias Principado de;valor absoluto;2021-01-01 00:00:00+00:00;68749
11 Bebidas;Total Nacional;03 Asturias Principado de;porcentaje;2022-01-01 00:00:00+00:00;0.4
11 Bebidas;Total Nacional;03 Asturias Principado de;porcentaje;2021-01-01 00:00:00+00:00;0.4
11 Bebidas;Total Nacional;04 Balears Illes;valor absoluto;2022-01-01 00:00:00+00:00;60824
11 Bebidas;Total Nacional;04 Balears Illes;valor absoluto;2021-01-01 00:00:00+00:00;67099
11 Bebidas;Total Nacional;04 Balears Illes;porcentaje;2022-01-01 00:00:00+00:00;0.3
11 Bebidas;Total Nacional;04 Balears Illes;porcentaje;2021-01-01 00:00:00+00:00;0.4
11 Bebidas;Total Nacional;05 Canarias;valor absoluto;2022-01-01 00:00:00+00:00;564190
11 Bebidas;Total Nacional;05 Canarias;valor absoluto;2021-01-01 00:00:00+00:00;495333
11 Bebidas;Total Nacional;05 Canarias;porcentaje;2022-01-01 00:00:00+00:00;3.0
11 Bebidas;Total Nacional;05 Canarias;porcentaje;2021-01-01 00:00:00+00:00;2.9
11 Bebidas;Total Nacional;06 Cantabria;valor absoluto;2022-01-01 00:00:00+00:00;45509
11 Bebidas;Total Nacional;06 Cantabria;valor absoluto;2021-01-01 00:00:00+00:00;16008
11 Bebidas;Total Nacional;06 Cantabria;porcentaje;2022-01-01 00:00:00+00:00;0.2
11 Bebidas;Total Nacional;06 Cantabria;porcentaje;2021-01-01 00:00:00+00:00;0.1
11 Bebidas;Total Nacional;07 Castilla y León;valor absoluto;2022-01-01 00:00:00+00:00;1617382
11 Bebidas;Total Nacional;07 Castilla y León;valor absoluto;2021-01-01 00:00:00+00:00;1530196
11 Bebidas;Total Nacional;07 Castilla y León;porcentaje;2022-01-01 00:00:00+00:00;8.5
11 Bebidas;Total Nacional;07 Castilla y León;porcentaje;2021-01-01 00:00:00+00:00;9.0
11 Bebidas;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022-01-01 00:00:00+00:00;3851445
11 Bebidas;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021-01-01 00:00:00+00:00;3325979
11 Bebidas;Total Nacional;08 Castilla - La Mancha;porcentaje;2022-01-01 00:00:00+00:00;20.2
11 Bebidas;Total Nacional;08 Castilla - La Mancha;porcentaje;2021-01-01 00:00:00+00:00;19.5
11 Bebidas;Total Nacional;09 Cataluña;valor absoluto;2022-01-01 00:00:00+00:00;3146479
11 Bebidas;Total Nacional;09 Cataluña;valor absoluto;2021-01-01 00:00:00+00:00;2697192
11 Bebidas;Total Nacional;09 Cataluña;porcentaje;2022-01-01 00:00:00+00:00;16.5
11 Bebidas;Total Nacional;09 Cataluña;porcentaje;2021-01-01 00:00:00+00:00;15.8
11 Bebidas;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022-01-01 00:00:00+00:00;1844593
11 Bebidas;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021-01-01 00:00:00+00:00;1585180
11 Bebidas;Total Nacional;10 Comunitat Valenciana;porcentaje;2022-01-01 00:00:00+00:00;9.7
11 Bebidas;Total Nacional;10 Comunitat Valenciana;porcentaje;2021-01-01 00:00:00+00:00;9.3
11 Bebidas;Total Nacional;11 Extremadura;valor absoluto;2022-01-01 00:00:00+00:00;277793
11 Bebidas;Total Nacional;11 Extremadura;valor absoluto;2021-01-01 00:00:00+00:00;269289
11 Bebidas;Total Nacional;11 Extremadura;porcentaje;2022-01-01 00:00:00+00:00;1.5
11 Bebidas;Total Nacional;11 Extremadura;porcentaje;2021-01-01 00:00:00+00:00;1.6
11 Bebidas;Total Nacional;12 Galicia;valor absoluto;2022-01-01 00:00:00+00:00;1240015
11 Bebidas;Total Nacional;12 Galicia;valor absoluto;2021-01-01 00:00:00+00:00;1136423
11 Bebidas;Total Nacional;12 Galicia;porcentaje;2022-01-01 00:00:00+00:00;6.5
11 Bebidas;Total Nacional;12 Galicia;porcentaje;2021-01-01 00:00:00+00:00;6.7
11 Bebidas;Total Nacional;13 Madrid Comunidad de;valor absoluto;2022-01-01 00:00:00+00:00;287321
11 Bebidas;Total Nacional;13 Madrid Comunidad de;valor absoluto;2021-01-01 00:00:00+00:00;267779
11 Bebidas;Total Nacional;13 Madrid Comunidad de;porcentaje;2022-01-01 00:00:00+00:00;1.5
11 Bebidas;Total Nacional;13 Madrid Comunidad de;porcentaje;2021-01-01 00:00:00+00:00;1.6
11 Bebidas;Total Nacional;14 Murcia Región de;valor absoluto;2022-01-01 00:00:00+00:00;470729
