Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
13 Textil;Total Nacional;07 Castilla y León;valor absoluto;2021;75,091
13 Textil;Total Nacional;07 Castilla y León;porcentaje;2022;1.7
13 Textil;Total Nacional;07 Castilla y León;porcentaje;2021;1.7
13 Textil;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;112,818
13 Textil;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;91,955
13 Textil;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;2.3
13 Textil;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;2.1
13 Textil;Total Nacional;09 Cataluña;valor absoluto;2022;2,121,898
13 Textil;Total Nacional;09 Cataluña;valor absoluto;2021;1,865,176
13 Textil;Total Nacional;09 Cataluña;porcentaje;2022;44.0
13 Textil;Total Nacional;09 Cataluña;porcentaje;2021;42.7
13 Textil;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;1,564,835
13 Textil;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;1,511,869
