Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
11 Bebidas;Total Nacional;01 Andalucía;valor absoluto;2021;2210597
11 Bebidas;Total Nacional;01 Andalucía;porcentaje;2022;12.4
11 Bebidas;Total Nacional;01 Andalucía;porcentaje;2021;13.0
11 Bebidas;Total Nacional;02 Aragón;valor absoluto;2022;537067
11 Bebidas;Total Nacional;02 Aragón;valor absoluto;2021;374427
11 Bebidas;Total Nacional;02 Aragón;porcentaje;2022;2.8
11 Bebidas;Total Nacional;02 Aragón;porcentaje;2021;2.2
11 Bebidas;Total Nacional;03 Asturias Principado de;valor absoluto;2022;83041
11 Bebidas;Total Nacional;03 Asturias Principado de;valor absoluto;2021;68749
11 Bebidas;Total Nacional;03 Asturias Principado de;porcentaje;2022;0.4
11 Bebidas;Total Nacional;03 Asturias Principado de;porcentaje;2021;0.4
11 Bebidas;Total Nacional;04 Balears Illes;valor absoluto;2022;60824
11 Bebidas;Total Nacional;04 Balears Illes;valor absoluto;2021;67099
11 Bebidas;Total Nacional;04 Balears Illes;porcentaje;2022;0.3
11 Bebidas;Total Nacional;04 Balears Illes;porcentaje;2021;0.4
11 Bebidas;Total Nacional;05 Canarias;valor absoluto;2022;564190
11 Bebidas;Total Nacional;05 Canarias;valor absoluto;2021;495333
11 Bebidas;Total Nacional;05 Canarias;porcentaje;2022;3.0
11 Bebidas;Total Nacional;05 Canarias;porcentaje;2021;2.9
11 Bebidas;Total Nacional;06 Cantabria;valor absoluto;2022;45509
11 Bebidas;Total Nacional;06 Cantabria;valor absoluto;2021;16008
11 Bebidas;Total Nacional;06 Cantabria;porcentaje;2022;0.2
11 Bebidas;Total Nacional;06 Cantabria;porcentaje;2021;0.1
11 Bebidas;Total Nacional;07 Castilla y León;valor absoluto;2022;1617382
11 Bebidas;Total Nacional;07 Castilla y León;valor absoluto;2021;1530196
11 Bebidas;Total Nacional;07 Castilla y León;porcentaje;2022;8.5
11 Bebidas;Total Nacional;07 Castilla y León;porcentaje;2021;9.0
11 Bebidas;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;3851445
11 Bebidas;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;3325979
11 Bebidas;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;20.2
11 Bebidas;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;19.5
11 Bebidas;Total Nacional;09 Cataluña;valor absoluto;2022;3146479
11 Bebidas;Total Nacional;09 Cataluña;valor absoluto;2021;2697192
11 Bebidas;Total Nacional;09 Cataluña;porcentaje;2022;16.5
11 Bebidas;Total Nacional;09 Cataluña;porcentaje;2021;15.8
11 Bebidas;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;1844593
11 Bebidas;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;1585180
11 Bebidas;Total Nacional;10 Comunitat Valenciana;porcentaje;2022;9.7
11 Bebidas;Total Nacional;10 Comunitat Valenciana;porcentaje;2021;9.3
11 Bebidas;Total Nacional;11 Extremadura;valor absoluto;2022;277793
11 Bebidas;Total Nacional;11 Extremadura;valor absoluto;2021;269289
11 Bebidas;Total Nacional;11 Extremadura;porcentaje;2022;1.5
11 Bebidas;Total Nacional;11 Extremadura;porcentaje;2021;1.6
11 Bebidas;Total Nacional;12 Galicia;valor absoluto;2022;1240015
11 Bebidas;Total Nacional;12 Galicia;valor absoluto;2021;1136423
11 Bebidas;Total Nacional;12 Galicia;porcentaje;2022;6.5
11 Bebidas;Total Nacional;12 Galicia;porcentaje;2021;6.7
11 Bebidas;Total Nacional;13 Madrid Comunidad de;valor absoluto;2022;287321
11 Bebidas;Total Nacional;13 Madrid Comunidad de;valor absoluto;2021;267779
11 Bebidas;Total Nacional;13 Madrid Comunidad de;porcentaje;2022;1.5
11 Bebidas;Total Nacional;13 Madrid Comunidad de;porcentaje;2021;1.6
11 Bebidas;Total Nacional;14 Murcia Región de;valor absoluto;2022;470729
11 Bebidas;Total Nacional;14 Murcia Región de;valor absoluto;2021;429939
11 Bebidas;Total Nacional;14 Murcia Región de;porcentaje;2022;2.5
11 Bebidas;Total Nacional;14 Murcia Región de;porcentaje;2021;2.5
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2022;411430
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021;362609
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022;2.2
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021;2.1
11 Bebidas;Total Nacional;16 País Vasco;valor absoluto;2022;1511496
11 Bebidas;Total Nacional;16 País Vasco;valor absoluto;2021;1404704
11 Bebidas;Total Nacional;16 País Vasco;porcentaje;2022;7.9
11 Bebidas;Total Nacional;16 País Vasco;porcentaje;2021;8.2
11 Bebidas;Total Nacional;17 Rioja La;valor absoluto;2022;744347
11 Bebidas;Total Nacional;17 Rioja La;valor absoluto;2021;788953
11 Bebidas;Total Nacional;17 Rioja La;porcentaje;2022;3.9
11 Bebidas;Total Nacional;17 Rioja La;porcentaje;2021;4.6
11 Bebidas;Total Nacional;18 Ceuta;valor absoluto;2022;0
11 Bebidas;Total Nacional;18 Ceuta;valor absoluto;2021;0
11 Bebidas;Total Nacional;18 Ceuta;porcentaje;2022;0.0
11 Bebidas;Total Nacional;18 Ceuta;porcentaje;2021;0.0
11 Bebidas;Total Nacional;19 Melilla;valor absoluto;2022;0
11 Bebidas;Total Nacional;19 Melilla;valor absoluto;2021;0
11 Bebidas;Total Nacional;19 Melilla;porcentaje;2022;0.0
11 Bebidas;Total Nacional;19 Melilla;porcentaje;2021;0.0
12 Tabaco;Total Nacional;;valor absoluto;2022;291977
12 Tabaco;Total Nacional;;valor absoluto;2021;286430
12 Tabaco;Total Nacional;;porcentaje;2022;100.0
12 Tabaco;Total Nacional;;porcentaje;2021;100.0
12 Tabaco;Total Nacional;01 Andalucía;valor absoluto;2022;0.0
12 Tabaco;Total Nacional;01 Andalucía;valor absoluto;2021;0
12 Tabaco;Total Nacional;01 Andalucía;porcentaje;2022;0.0
12 Tabaco;Total Nacional;01 Andalucía;porcentaje;2021;0.0
12 Tabaco;Total Nacional;02 Aragón;valor absoluto;2022;0
12 Tabaco;Total Nacional;02 Aragón;valor absoluto;2021;0
12 Tabaco;Total Nacional;02 Aragón;porcentaje;2022;0.0
12 Tabaco;Total Nacional;02 Aragón;porcentaje;2021;0.0
12 Tabaco;Total Nacional;03 Asturias Principado de;valor absoluto;2022;0
12 Tabaco;Total Nacional;03 Asturias Principado de;valor absoluto;2021;0
12 Tabaco;Total Nacional;03 Asturias Principado de;porcentaje;2022;0.0
12 Tabaco;Total Nacional;03 Asturias Principado de;porcentaje;2021;0.0
12 Tabaco;Total Nacional;04 Balears Illes;valor absoluto;2022;0
12 Tabaco;Total Nacional;04 Balears Illes;valor absoluto;2021;0
12 Tabaco;Total Nacional;04 Balears Illes;porcentaje;2022;0.0
12 Tabaco;Total Nacional;04 Balears Illes;porcentaje;2021;0.0
12 Tabaco;Total Nacional;05 Canarias;valor absoluto;2022;169593
12 Tabaco;Total Nacional;05 Canarias;valor absoluto;2021;171018
12 Tabaco;Total Nacional;05 Canarias;porcentaje;2022;58.1
12 Tabaco;Total Nacional;05 Canarias;porcentaje;2021;59.7
12 Tabaco;Total Nacional;06 Cantabria;valor absoluto;2022;0.0
12 Tabaco;Total Nacional;06 Cantabria;valor absoluto;2021;0
12 Tabaco;Total Nacional;06 Cantabria;porcentaje;2022;0.0
12 Tabaco;Total Nacional;06 Cantabria;porcentaje;2021;0.0
12 Tabaco;Total Nacional;07 Castilla y León;valor absoluto;2022;0
12 Tabaco;Total Nacional;07 Castilla y León;valor absoluto;2021;0
12 Tabaco;Total Nacional;07 Castilla y León;porcentaje;2022;0.0
12 Tabaco;Total Nacional;07 Castilla y León;porcentaje;2021;0.0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;0.0
12 Tabaco;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;0.0
12 Tabaco;Total Nacional;09 Cataluña;valor absoluto;2022;0
12 Tabaco;Total Nacional;09 Cataluña;valor absoluto;2021;0
12 Tabaco;Total Nacional;09 Cataluña;porcentaje;2022;0.0
12 Tabaco;Total Nacional;09 Cataluña;porcentaje;2021;0.0
12 Tabaco;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;1675
12 Tabaco;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;2162
12 Tabaco;Total Nacional;10 Comunitat Valenciana;porcentaje;2022;0.6
12 Tabaco;Total Nacional;10 Comunitat Valenciana;porcentaje;2021;0.8
12 Tabaco;Total Nacional;11 Extremadura;valor absoluto;2022;0.0
12 Tabaco;Total Nacional;11 Extremadura;valor absoluto;2021;0.0
12 Tabaco;Total Nacional;11 Extremadura;porcentaje;2022;0.0
12 Tabaco;Total Nacional;11 Extremadura;porcentaje;2021;0.0
12 Tabaco;Total Nacional;12 Galicia;valor absoluto;2022;0
12 Tabaco;Total Nacional;12 Galicia;valor absoluto;2021;0
