index;Genre;Count;start_date;end_date
0;mellow_gold;6547;1968-01-01;1973-12-31
1;soft_rock;5672;1968-01-01;1973-12-31
2;adult_standards;5409;1968-01-01;1973-12-31
3;brill_building_pop;4826;1968-01-01;1973-12-31
4;rock;4216;1968-01-01;1973-12-31
5;dance_pop;113;1968-01-01;1973-12-31
6;pop;343;1968-01-01;1973-12-31
7;soul;6309;1968-01-01;1973-12-31
8;motown;5949;1968-01-01;1973-12-31
9;pop_rap;61;1968-01-01;1973-12-31
10;rap;61;1968-01-01;1973-12-31
11;folk_rock;5690;1968-01-01;1973-12-31
12;album_rock;3096;1968-01-01;1973-12-31
13;classic_rock;4591;1968-01-01;1973-12-31
14;quiet_storm;3820;1968-01-01;1973-12-31
15;hip_hop;108;1968-01-01;1973-12-31
16;rock-and-roll;1469;1968-01-01;1973-12-31
17;bubblegum_pop;3700;1968-01-01;1973-12-31
18;funk;4485;1968-01-01;1973-12-31
19;classic_soul;5069;1968-01-01;1973-12-31
20;urban_contemporary;183;1968-01-01;1973-12-31
21;country;511;1968-01-01;1973-12-31
22;r&b;61;1968-01-01;1973-12-31
23;disco;2699;1968-01-01;1973-12-31
24;post-teen_pop;0;1968-01-01;1973-12-31
25;new_wave_pop;345;1968-01-01;1973-12-31
26;contemporary_country;55;1968-01-01;1973-12-31
27;country_rock;2845;1968-01-01;1973-12-31
28;country_road;45;1968-01-01;1973-12-31
29;southern_soul;3773;1968-01-01;1973-12-31
30;trap;21;1968-01-01;1973-12-31
31;folk;3277;1968-01-01;1973-12-31
32;pop_rock;222;1968-01-01;1973-12-31
33;southern_hip_hop;57;1968-01-01;1973-12-31
34;hard_rock;1511;1968-01-01;1973-12-31
35;lounge;1188;1968-01-01;1973-12-31
36;hip_pop;0;1968-01-01;1973-12-31
37;rockabilly;432;1968-01-01;1973-12-31
38;rhythm_and_blues;729;1968-01-01;1973-12-31
39;art_rock;1554;1968-01-01;1973-12-31
40;dance_rock;150;1968-01-01;1973-12-31
41;merseybeat;1117;1968-01-01;1973-12-31
42;new_jack_swing;29;1968-01-01;1973-12-31
43;easy_listening;800;1968-01-01;1973-12-31
44;doo-wop;342;1968-01-01;1973-12-31
45;classic_uk_pop;1714;1968-01-01;1973-12-31
46;psychedelic_rock;1960;1968-01-01;1973-12-31
47;gangster_rap;11;1968-01-01;1973-12-31
48;roots_rock;2354;1968-01-01;1973-12-31
