index;Genre;start_date;end_date
mellow_gold;6;2008-01-01;2013-01-01
soft_rock;1;2008-01-01;2013-01-01
adult_standards;6;2008-01-01;2013-01-01
rock;60;2008-01-01;2013-01-01
dance_pop;738;2008-01-01;2013-01-01
pop;786;2008-01-01;2013-01-01
soul;6;2008-01-01;2013-01-01
pop_rap;579;2008-01-01;2013-01-01
rap;377;2008-01-01;2013-01-01
album_rock;1;2008-01-01;2013-01-01
classic_rock;1;2008-01-01;2013-01-01
quiet_storm;17;2008-01-01;2013-01-01
hip_hop;325;2008-01-01;2013-01-01
funk;6;2008-01-01;2013-01-01
urban_contemporary;242;2008-01-01;2013-01-01
country;343;2008-01-01;2013-01-01
r&b;257;2008-01-01;2013-01-01
post-teen_pop;639;2008-01-01;2013-01-01
new_wave_pop;8;2008-01-01;2013-01-01
contemporary_country;345;2008-01-01;2013-01-01
country_rock;15;2008-01-01;2013-01-01
country_road;327;2008-01-01;2013-01-01
trap;224;2008-01-01;2013-01-01
pop_rock;211;2008-01-01;2013-01-01
folk;5;2008-01-01;2013-01-01
southern_hip_hop;219;2008-01-01;2013-01-01
hard_rock;8;2008-01-01;2013-01-01
lounge;5;2008-01-01;2013-01-01
hip_pop;131;2008-01-01;2013-01-01
art_rock;1;2008-01-01;2013-01-01
new_jack_swing;13;2008-01-01;2013-01-01
easy_listening;1;2008-01-01;2013-01-01
gangster_rap;112;2008-01-01;2013-01-01
blues_rock;4;2008-01-01;2013-01-01
