index;Genre;start_date;end_date
mellow_gold;6;2018-01-01;2023-01-01
soft_rock;3;2018-01-01;2023-01-01
adult_standards;32;2018-01-01;2023-01-01
brill_building_pop;11;2018-01-01;2023-01-01
rock;16;2018-01-01;2023-01-01
dance_pop;232;2018-01-01;2023-01-01
pop;522;2018-01-01;2023-01-01
soul;5;2018-01-01;2023-01-01
motown;5;2018-01-01;2023-01-01
pop_rap;509;2018-01-01;2023-01-01
rap;722;2018-01-01;2023-01-01
folk_rock;3;2018-01-01;2023-01-01
album_rock;3;2018-01-01;2023-01-01
classic_rock;5;2018-01-01;2023-01-01
quiet_storm;1;2018-01-01;2023-01-01
hip_hop;361;2018-01-01;2023-01-01
rock-and-roll;2;2018-01-01;2023-01-01
funk;1;2018-01-01;2023-01-01
classic_soul;1;2018-01-01;2023-01-01
urban_contemporary;27;2018-01-01;2023-01-01
country;122;2018-01-01;2023-01-01
r&b;56;2018-01-01;2023-01-01
post-teen_pop;245;2018-01-01;2023-01-01
new_wave_pop;2;2018-01-01;2023-01-01
contemporary_country;222;2018-01-01;2023-01-01
country_rock;1;2018-01-01;2023-01-01
southern_soul;1;2018-01-01;2023-01-01
country_road;132;2018-01-01;2023-01-01
trap;459;2018-01-01;2023-01-01
pop_rock;20;2018-01-01;2023-01-01
southern_hip_hop;181;2018-01-01;2023-01-01
hard_rock;1;2018-01-01;2023-01-01
lounge;8;2018-01-01;2023-01-01
hip_pop;21;2018-01-01;2023-01-01
rockabilly;2;2018-01-01;2023-01-01
art_rock;1;2018-01-01;2023-01-01
dance_rock;1;2018-01-01;2023-01-01
easy_listening;11;2018-01-01;2023-01-01
psychedelic_rock;1;2018-01-01;2023-01-01
gangster_rap;37;2018-01-01;2023-01-01
blues_rock;1;2018-01-01;2023-01-01
