index;Genre;start_date;end_date
mellow_gold;370;1963-01-01;1968-01-01
soft_rock;215;1963-01-01;1968-01-01
adult_standards;1024;1963-01-01;1968-01-01
brill_building_pop;1319;1963-01-01;1968-01-01
rock;275;1963-01-01;1968-01-01
dance_pop;16;1963-01-01;1968-01-01
pop;23;1963-01-01;1968-01-01
soul;674;1963-01-01;1968-01-01
motown;723;1963-01-01;1968-01-01
pop_rap;15;1963-01-01;1968-01-01
rap;14;1963-01-01;1968-01-01
folk_rock;586;1963-01-01;1968-01-01
album_rock;102;1963-01-01;1968-01-01
classic_rock;216;1963-01-01;1968-01-01
quiet_storm;222;1963-01-01;1968-01-01
hip_hop;15;1963-01-01;1968-01-01
bubblegum_pop;737;1963-01-01;1968-01-01
rock-and-roll;749;1963-01-01;1968-01-01
funk;269;1963-01-01;1968-01-01
classic_soul;537;1963-01-01;1968-01-01
urban_contemporary;5;1963-01-01;1968-01-01
country;38;1963-01-01;1968-01-01
disco;114;1963-01-01;1968-01-01
post-teen_pop;5;1963-01-01;1968-01-01
new_wave_pop;16;1963-01-01;1968-01-01
contemporary_country;5;1963-01-01;1968-01-01
country_rock;82;1963-01-01;1968-01-01
southern_soul;384;1963-01-01;1968-01-01
country_road;9;1963-01-01;1968-01-01
trap;1;1963-01-01;1968-01-01
pop_rock;1;1963-01-01;1968-01-01
folk;193;1963-01-01;1968-01-01
southern_hip_hop;14;1963-01-01;1968-01-01
hard_rock;31;1963-01-01;1968-01-01
lounge;356;1963-01-01;1968-01-01
rhythm_and_blues;331;1963-01-01;1968-01-01
rockabilly;246;1963-01-01;1968-01-01
art_rock;62;1963-01-01;1968-01-01
dance_rock;12;1963-01-01;1968-01-01
merseybeat;478;1963-01-01;1968-01-01
classic_uk_pop;198;1963-01-01;1968-01-01
easy_listening;296;1963-01-01;1968-01-01
doo-wop;234;1963-01-01;1968-01-01
psychedelic_rock;264;1963-01-01;1968-01-01
gangster_rap;1;1963-01-01;1968-01-01
roots_rock;75;1963-01-01;1968-01-01
blues_rock;79;1963-01-01;1968-01-01
