index;Genre;start_date;end_date
mellow_gold;759;1983-01-01;1988-01-01
soft_rock;841;1983-01-01;1988-01-01
adult_standards;182;1983-01-01;1988-01-01
brill_building_pop;32;1983-01-01;1988-01-01
rock;605;1983-01-01;1988-01-01
dance_pop;122;1983-01-01;1988-01-01
pop;56;1983-01-01;1988-01-01
soul;169;1983-01-01;1988-01-01
motown;199;1983-01-01;1988-01-01
pop_rap;4;1983-01-01;1988-01-01
rap;14;1983-01-01;1988-01-01
folk_rock;190;1983-01-01;1988-01-01
album_rock;596;1983-01-01;1988-01-01
classic_rock;400;1983-01-01;1988-01-01
quiet_storm;279;1983-01-01;1988-01-01
hip_hop;15;1983-01-01;1988-01-01
bubblegum_pop;42;1983-01-01;1988-01-01
rock-and-roll;16;1983-01-01;1988-01-01
funk;213;1983-01-01;1988-01-01
classic_soul;39;1983-01-01;1988-01-01
urban_contemporary;154;1983-01-01;1988-01-01
country;25;1983-01-01;1988-01-01
r&b;77;1983-01-01;1988-01-01
disco;267;1983-01-01;1988-01-01
post-teen_pop;4;1983-01-01;1988-01-01
new_wave_pop;608;1983-01-01;1988-01-01
contemporary_country;1;1983-01-01;1988-01-01
country_rock;74;1983-01-01;1988-01-01
southern_soul;23;1983-01-01;1988-01-01
country_road;4;1983-01-01;1988-01-01
trap;1;1983-01-01;1988-01-01
pop_rock;111;1983-01-01;1988-01-01
folk;73;1983-01-01;1988-01-01
southern_hip_hop;4;1983-01-01;1988-01-01
hard_rock;232;1983-01-01;1988-01-01
lounge;24;1983-01-01;1988-01-01
hip_pop;11;1983-01-01;1988-01-01
rockabilly;8;1983-01-01;1988-01-01
art_rock;194;1983-01-01;1988-01-01
dance_rock;463;1983-01-01;1988-01-01
new_jack_swing;129;1983-01-01;1988-01-01
merseybeat;2;1983-01-01;1988-01-01
classic_uk_pop;56;1983-01-01;1988-01-01
easy_listening;10;1983-01-01;1988-01-01
psychedelic_rock;43;1983-01-01;1988-01-01
gangster_rap;2;1983-01-01;1988-01-01
roots_rock;70;1983-01-01;1988-01-01
blues_rock;50;1983-01-01;1988-01-01
