index;Genre;start_date;end_date
mellow_gold;746;1973-01-01;1978-01-01
soft_rock;725;1973-01-01;1978-01-01
adult_standards;471;1973-01-01;1978-01-01
brill_building_pop;239;1973-01-01;1978-01-01
rock;473;1973-01-01;1978-01-01
dance_pop;23;1973-01-01;1978-01-01
pop;21;1973-01-01;1978-01-01
soul;515;1973-01-01;1978-01-01
motown;546;1973-01-01;1978-01-01
pop_rap;2;1973-01-01;1978-01-01
rap;1;1973-01-01;1978-01-01
folk_rock;469;1973-01-01;1978-01-01
album_rock;451;1973-01-01;1978-01-01
classic_rock;502;1973-01-01;1978-01-01
quiet_storm;455;1973-01-01;1978-01-01
hip_hop;1;1973-01-01;1978-01-01
bubblegum_pop;303;1973-01-01;1978-01-01
rock-and-roll;67;1973-01-01;1978-01-01
funk;486;1973-01-01;1978-01-01
classic_soul;460;1973-01-01;1978-01-01
urban_contemporary;47;1973-01-01;1978-01-01
country;74;1973-01-01;1978-01-01
r&b;6;1973-01-01;1978-01-01
disco;482;1973-01-01;1978-01-01
post-teen_pop;2;1973-01-01;1978-01-01
new_wave_pop;74;1973-01-01;1978-01-01
contemporary_country;4;1973-01-01;1978-01-01
country_rock;387;1973-01-01;1978-01-01
southern_soul;280;1973-01-01;1978-01-01
country_road;3;1973-01-01;1978-01-01
trap;4;1973-01-01;1978-01-01
pop_rock;11;1973-01-01;1978-01-01
folk;271;1973-01-01;1978-01-01
southern_hip_hop;2;1973-01-01;1978-01-01
hard_rock;201;1973-01-01;1978-01-01
lounge;71;1973-01-01;1978-01-01
rhythm_and_blues;21;1973-01-01;1978-01-01
rockabilly;24;1973-01-01;1978-01-01
art_rock;190;1973-01-01;1978-01-01
dance_rock;35;1973-01-01;1978-01-01
new_jack_swing;12;1973-01-01;1978-01-01
merseybeat;15;1973-01-01;1978-01-01
classic_uk_pop;189;1973-01-01;1978-01-01
easy_listening;39;1973-01-01;1978-01-01
doo-wop;23;1973-01-01;1978-01-01
psychedelic_rock;99;1973-01-01;1978-01-01
roots_rock;183;1973-01-01;1978-01-01
blues_rock;196;1973-01-01;1978-01-01
