index;Genre;start_date;end_date
mellow_gold;19;1998-01-01;2003-01-01
soft_rock;12;1998-01-01;2003-01-01
adult_standards;4;1998-01-01;2003-01-01
rock;102;1998-01-01;2003-01-01
dance_pop;408;1998-01-01;2003-01-01
pop;208;1998-01-01;2003-01-01
soul;28;1998-01-01;2003-01-01
motown;5;1998-01-01;2003-01-01
pop_rap;246;1998-01-01;2003-01-01
rap;210;1998-01-01;2003-01-01
folk_rock;4;1998-01-01;2003-01-01
album_rock;8;1998-01-01;2003-01-01
classic_rock;11;1998-01-01;2003-01-01
quiet_storm;111;1998-01-01;2003-01-01
hip_hop;303;1998-01-01;2003-01-01
bubblegum_pop;1;1998-01-01;2003-01-01
rock-and-roll;1;1998-01-01;2003-01-01
funk;22;1998-01-01;2003-01-01
classic_soul;3;1998-01-01;2003-01-01
urban_contemporary;318;1998-01-01;2003-01-01
country;309;1998-01-01;2003-01-01
r&b;318;1998-01-01;2003-01-01
disco;4;1998-01-01;2003-01-01
post-teen_pop;54;1998-01-01;2003-01-01
new_wave_pop;32;1998-01-01;2003-01-01
contemporary_country;218;1998-01-01;2003-01-01
country_rock;77;1998-01-01;2003-01-01
southern_soul;3;1998-01-01;2003-01-01
country_road;247;1998-01-01;2003-01-01
trap;57;1998-01-01;2003-01-01
pop_rock;185;1998-01-01;2003-01-01
folk;15;1998-01-01;2003-01-01
southern_hip_hop;153;1998-01-01;2003-01-01
hard_rock;7;1998-01-01;2003-01-01
hip_pop;286;1998-01-01;2003-01-01
rockabilly;1;1998-01-01;2003-01-01
art_rock;2;1998-01-01;2003-01-01
dance_rock;3;1998-01-01;2003-01-01
new_jack_swing;154;1998-01-01;2003-01-01
psychedelic_rock;1;1998-01-01;2003-01-01
gangster_rap;137;1998-01-01;2003-01-01
roots_rock;3;1998-01-01;2003-01-01
blues_rock;5;1998-01-01;2003-01-01
