index;Genre;start_date;end_date
mellow_gold;311;1988-01-01;1993-01-01
soft_rock;379;1988-01-01;1993-01-01
adult_standards;81;1988-01-01;1993-01-01
brill_building_pop;9;1988-01-01;1993-01-01
rock;400;1988-01-01;1993-01-01
dance_pop;186;1988-01-01;1993-01-01
pop;78;1988-01-01;1993-01-01
soul;58;1988-01-01;1993-01-01
motown;53;1988-01-01;1993-01-01
pop_rap;14;1988-01-01;1993-01-01
rap;71;1988-01-01;1993-01-01
folk_rock;94;1988-01-01;1993-01-01
album_rock;319;1988-01-01;1993-01-01
classic_rock;182;1988-01-01;1993-01-01
quiet_storm;195;1988-01-01;1993-01-01
hip_hop;76;1988-01-01;1993-01-01
bubblegum_pop;13;1988-01-01;1993-01-01
rock-and-roll;2;1988-01-01;1993-01-01
funk;110;1988-01-01;1993-01-01
classic_soul;10;1988-01-01;1993-01-01
urban_contemporary;225;1988-01-01;1993-01-01
country;10;1988-01-01;1993-01-01
r&b;167;1988-01-01;1993-01-01
disco;57;1988-01-01;1993-01-01
post-teen_pop;2;1988-01-01;1993-01-01
new_wave_pop;383;1988-01-01;1993-01-01
contemporary_country;3;1988-01-01;1993-01-01
country_rock;22;1988-01-01;1993-01-01
southern_soul;5;1988-01-01;1993-01-01
country_road;4;1988-01-01;1993-01-01
trap;7;1988-01-01;1993-01-01
pop_rock;128;1988-01-01;1993-01-01
folk;51;1988-01-01;1993-01-01
southern_hip_hop;12;1988-01-01;1993-01-01
hard_rock;229;1988-01-01;1993-01-01
lounge;5;1988-01-01;1993-01-01
hip_pop;73;1988-01-01;1993-01-01
rockabilly;1;1988-01-01;1993-01-01
art_rock;76;1988-01-01;1993-01-01
dance_rock;210;1988-01-01;1993-01-01
new_jack_swing;197;1988-01-01;1993-01-01
classic_uk_pop;29;1988-01-01;1993-01-01
easy_listening;1;1988-01-01;1993-01-01
psychedelic_rock;10;1988-01-01;1993-01-01
gangster_rap;39;1988-01-01;1993-01-01
roots_rock;40;1988-01-01;1993-01-01
blues_rock;35;1988-01-01;1993-01-01
