index;Genre;start_date;end_date
mellow_gold;22;2003-01-01;2008-01-01
soft_rock;19;2003-01-01;2008-01-01
adult_standards;19;2003-01-01;2008-01-01
rock;108;2003-01-01;2008-01-01
dance_pop;503;2003-01-01;2008-01-01
pop;380;2003-01-01;2008-01-01
soul;18;2003-01-01;2008-01-01
motown;13;2003-01-01;2008-01-01
pop_rap;471;2003-01-01;2008-01-01
rap;330;2003-01-01;2008-01-01
folk_rock;6;2003-01-01;2008-01-01
album_rock;10;2003-01-01;2008-01-01
classic_rock;13;2003-01-01;2008-01-01
quiet_storm;44;2003-01-01;2008-01-01
hip_hop;297;2003-01-01;2008-01-01
rock-and-roll;1;2003-01-01;2008-01-01
funk;11;2003-01-01;2008-01-01
classic_soul;3;2003-01-01;2008-01-01
urban_contemporary;284;2003-01-01;2008-01-01
country;314;2003-01-01;2008-01-01
r&b;292;2003-01-01;2008-01-01
disco;7;2003-01-01;2008-01-01
post-teen_pop;192;2003-01-01;2008-01-01
new_wave_pop;13;2003-01-01;2008-01-01
contemporary_country;285;2003-01-01;2008-01-01
country_rock;44;2003-01-01;2008-01-01
southern_soul;1;2003-01-01;2008-01-01
country_road;288;2003-01-01;2008-01-01
trap;165;2003-01-01;2008-01-01
pop_rock;193;2003-01-01;2008-01-01
folk;14;2003-01-01;2008-01-01
southern_hip_hop;243;2003-01-01;2008-01-01
hard_rock;7;2003-01-01;2008-01-01
lounge;5;2003-01-01;2008-01-01
hip_pop;248;2003-01-01;2008-01-01
rockabilly;1;2003-01-01;2008-01-01
art_rock;2;2003-01-01;2008-01-01
dance_rock;5;2003-01-01;2008-01-01
new_jack_swing;51;2003-01-01;2008-01-01
gangster_rap;191;2003-01-01;2008-01-01
roots_rock;2;2003-01-01;2008-01-01
blues_rock;9;2003-01-01;2008-01-01
