index;Genre;start_date;end_date
mellow_gold;115;1993-01-01;1998-01-01
soft_rock;117;1993-01-01;1998-01-01
adult_standards;30;1993-01-01;1998-01-01
brill_building_pop;5;1993-01-01;1998-01-01
rock;185;1993-01-01;1998-01-01
dance_pop;246;1993-01-01;1998-01-01
pop;116;1993-01-01;1998-01-01
soul;60;1993-01-01;1998-01-01
motown;35;1993-01-01;1998-01-01
pop_rap;91;1993-01-01;1998-01-01
rap;210;1993-01-01;1998-01-01
folk_rock;27;1993-01-01;1998-01-01
album_rock;66;1993-01-01;1998-01-01
classic_rock;41;1993-01-01;1998-01-01
quiet_storm;198;1993-01-01;1998-01-01
hip_hop;328;1993-01-01;1998-01-01
bubblegum_pop;1;1993-01-01;1998-01-01
rock-and-roll;4;1993-01-01;1998-01-01
funk;77;1993-01-01;1998-01-01
classic_soul;8;1993-01-01;1998-01-01
urban_contemporary;301;1993-01-01;1998-01-01
country;72;1993-01-01;1998-01-01
r&b;309;1993-01-01;1998-01-01
disco;22;1993-01-01;1998-01-01
post-teen_pop;3;1993-01-01;1998-01-01
new_wave_pop;109;1993-01-01;1998-01-01
contemporary_country;35;1993-01-01;1998-01-01
country_rock;39;1993-01-01;1998-01-01
southern_soul;9;1993-01-01;1998-01-01
country_road;45;1993-01-01;1998-01-01
trap;21;1993-01-01;1998-01-01
pop_rock;183;1993-01-01;1998-01-01
folk;43;1993-01-01;1998-01-01
southern_hip_hop;82;1993-01-01;1998-01-01
hard_rock;35;1993-01-01;1998-01-01
lounge;5;1993-01-01;1998-01-01
hip_pop;235;1993-01-01;1998-01-01
rhythm_and_blues;3;1993-01-01;1998-01-01
rockabilly;3;1993-01-01;1998-01-01
art_rock;16;1993-01-01;1998-01-01
dance_rock;44;1993-01-01;1998-01-01
new_jack_swing;265;1993-01-01;1998-01-01
merseybeat;3;1993-01-01;1998-01-01
doo-wop;2;1993-01-01;1998-01-01
psychedelic_rock;8;1993-01-01;1998-01-01
gangster_rap;188;1993-01-01;1998-01-01
roots_rock;13;1993-01-01;1998-01-01
blues_rock;4;1993-01-01;1998-01-01
