index;Genre;start_date;end_date
mellow_gold;639;1968-01-01;1973-01-01
soft_rock;529;1968-01-01;1973-01-01
adult_standards;625;1968-01-01;1973-01-01
brill_building_pop;679;1968-01-01;1973-01-01
rock;420;1968-01-01;1973-01-01
dance_pop;10;1968-01-01;1973-01-01
pop;39;1968-01-01;1973-01-01
soul;743;1968-01-01;1973-01-01
motown;683;1968-01-01;1973-01-01
pop_rap;8;1968-01-01;1973-01-01
rap;7;1968-01-01;1973-01-01
folk_rock;644;1968-01-01;1973-01-01
album_rock;280;1968-01-01;1973-01-01
classic_rock;486;1968-01-01;1973-01-01
quiet_storm;398;1968-01-01;1973-01-01
hip_hop;12;1968-01-01;1973-01-01
bubblegum_pop;542;1968-01-01;1973-01-01
rock-and-roll;248;1968-01-01;1973-01-01
funk;460;1968-01-01;1973-01-01
classic_soul;624;1968-01-01;1973-01-01
urban_contemporary;15;1968-01-01;1973-01-01
country;59;1968-01-01;1973-01-01
r&b;4;1968-01-01;1973-01-01
disco;271;1968-01-01;1973-01-01
post-teen_pop;3;1968-01-01;1973-01-01
new_wave_pop;22;1968-01-01;1973-01-01
contemporary_country;8;1968-01-01;1973-01-01
country_rock;279;1968-01-01;1973-01-01
southern_soul;460;1968-01-01;1973-01-01
country_road;7;1968-01-01;1973-01-01
trap;3;1968-01-01;1973-01-01
pop_rock;20;1968-01-01;1973-01-01
folk;324;1968-01-01;1973-01-01
southern_hip_hop;6;1968-01-01;1973-01-01
hard_rock;150;1968-01-01;1973-01-01
lounge;203;1968-01-01;1973-01-01
rhythm_and_blues;138;1968-01-01;1973-01-01
rockabilly;63;1968-01-01;1973-01-01
art_rock;146;1968-01-01;1973-01-01
dance_rock;11;1968-01-01;1973-01-01
new_jack_swing;2;1968-01-01;1973-01-01
merseybeat;202;1968-01-01;1973-01-01
classic_uk_pop;192;1968-01-01;1973-01-01
easy_listening;135;1968-01-01;1973-01-01
doo-wop;63;1968-01-01;1973-01-01
psychedelic_rock;280;1968-01-01;1973-01-01
gangster_rap;1;1968-01-01;1973-01-01
roots_rock;231;1968-01-01;1973-01-01
blues_rock;217;1968-01-01;1973-01-01
