iter	Passed	Remaining
399	36439	54659
400	36525	54560
401	36611	54461
402	36696	54361
403	36780	54261
404	36866	54162
405	36951	54061
406	37037	53963
407	37126	53869
408	37211	53770
409	37297	53671
410	37382	53573
411	37469	53476
412	37554	53376
413	37640	53278
414	37724	53178
415	37809	53078
416	37893	52978
417	37980	52881
418	38063	52780
419	38148	52680
420	38236	52585
421	38322	52489
422	38407	52390
423	38494	52295
424	38578	52194
425	38664	52097
426	38749	51998
427	38836	51903
428	38922	51806
429	39007	51708
430	39092	51609
431	39178	51512
432	39267	51419
433	39353	51323
434	39439	51226
435	39524	51128
436	39611	51032
437	39699	50938
438	39784	50841
439	39868	50741
440	39953	50644
441	40039	50547
442	40128	50454
443	40213	50356
444	40299	50261
445	40384	50163
446	40473	50071
447	40560	49976
448	40647	49881
449	40732	49784
450	40821	49691
451	40907	49595
452	40994	49501
453	41083	49408
454	41174	49318
455	41265	49229
456	41355	49138
457	41442	49042
458	41524	48943
459	41610	48847
460	41697	48752
461	41782	48655
462	41867	48559
463	41955	48466
464	42042	48371
465	42127	48275
466	42214	48180
467	42298	48083
468	42385	47988
469	42471	47893
470	42557	47797
471	42643	47702
472	42728	47607
473	42813	47510
474	42899	47415
475	42988	47323
476	43074	47227
477	43158	47130
478	43243	47034
479	43330	46941
480	43414	46844
481	43512	46762
482	43609	46679
483	43706	46596
484	43802	46511
485	43900	46429
486	43995	46344
487	44086	46254
488	44182	46170
489	44276	46083
490	44373	45999
491	44469	45915
492	44567	45832
493	44665	45750
494	44762	45666
495	44849	45573
496	44940	45482
497	45035	45396
498	45126	45307
499	45221	45221
500	45317	45137
501	45412	45051
502	45509	44966
503	45604	44881
504	45699	44794
505	45792	44706
506	45890	44623
507	45984	44536
508	46079	44450
509	46178	44367
510	46273	44281
511	46367	44194
512	46470	44115
513	46569	44032
514	46662	43944
515	46758	43858
516	46853	43772
517	46949	43686
518	47044	43599
519	47141	43515
520	47236	43428
521	47330	43340
522	47422	43251
523	47515	43163
524	47610	43076
525	47706	42989
526	47802	42903
527	47898	42818
528	47993	42731
529	48091	42646
530	48188	42562
531	48286	42477
532	48386	42395
533	48491	42316
534	48590	42233
535	48686	42146
536	48781	42059
537	48876	41972
538	48973	41886
539	49072	41802
540	49171	41718
541	49270	41634
542	49366	41547
543	49459	41458
544	49556	41372
545	49653	41286
546	49748	41199
547	49846	41114
548	49942	41027
549	50039	40941
550	50138	40856
551	50234	40769
552	50331	40683
553	50427	40596
554	50524	40510
555	50621	40424
556	50725	40343
557	50824	40258
558	50919	40170
559	51016	40084
560	51113	39997
561	51211	39912
562	51306	39824
563	51409	39742
564	51507	39656
565	51606	39571
566	51701	39483
567	51799	39396
568	51894	39308
569	51994	39223
570	52090	39136
571	52188	39049
572	52284	38962
573	52377	38872
574	52474	38785
575	52574	38700
576	52676	38617
577	52775	38531
578	52874	38445
579	52969	38357
580	53066	38270
581	53163	38182
582	53257	38093
583	53355	38006
584	53452	37919
585	53550	37832
586	53648	37745
587	53744	37657
588	53839	37568
589	53935	37480
590	54032	37392
591	54128	37304
592	54225	37217
593	54320	37128
594	54421	37042
595	54518	36955
596	54613	36866
597	54712	36780
598	54811	36693
599	54912	36608
600	55005	36518
601	55105	36432
602	55205	36345
603	55302	36258
604	55396	36168
605	55497	36082
606	55592	35992
607	55689	35904
608	55788	35818
609	55886	35730
610	55981	35641
611	56079	35553
612	56179	35467
613	56277	35379
614	56376	35292
615	56473	35204
616	56569	35115
617	56665	35026
618	56761	34937
619	56858	34848
620	56955	34760
621	57052	34672
622	57148	34582
623	57243	34492
624	57342	34405
625	57440	34317
626	57538	34229
627	57635	34140
628	57734	34053
629	57830	33964
630	57925	33874
631	58025	33786
632	58120	33697
633	58216	33607
634	58315	33519
635	58415	33432
636	58513	33344
637	58610	33255
638	58705	33165
639	58803	33076
640	58897	32986
641	58993	32896
642	59091	32808
643	59188	32719
644	59284	32629
645	59381	32540
646	59475	32449
647	59570	32359
648	59667	32270
649	59762	32179
650	59857	32089
651	59953	31999
652	60050	31910
653	60145	31819
654	60244	31731
655	60341	31642
656	60441	31554
657	60536	31464
658	60634	31375
659	60730	31285
660	60826	31195
661	60921	31105
662	61021	31016
663	61116	30926
664	61214	30837
665	61309	30746
666	61409	30658
667	61505	30568
668	61601	30478
669	61698	30389
670	61792	30297
671	61890	30208
672	61985	30117
673	62082	30028
674	62178	29937
675	62273	29847
676	62367	29755
677	62464	29666
678	62562	29576
679	62657	29485
680	62752	29394
681	62849	29305
682	62942	29213
683	63040	29123
684	63135	29033
685	63232	28943
686	63327	28852
687	63422	28761
688	63517	28670
689	63612	28579
690	63707	28488
691	63807	28399
692	63904	28309
693	64000	28219
694	64095	28128
695	64193	28038
696	64291	27948
697	64388	27858
698	64485	27768
699	64581	27677
700	64679	27587
701	64776	27497
