iter	MultiClass
0	2.201136718
1	2.108929217
2	2.020387113
3	1.93876549
4	1.856379063
5	1.785819953
6	1.72446711
7	1.662265599
8	1.608751189
9	1.56061881
10	1.51068613
11	1.467317917
12	1.427190333
13	1.382785312
14	1.344046874
15	1.303821957
16	1.27320728
17	1.238819283
18	1.20009788
19	1.169562697
20	1.143058402
21	1.114097211
22	1.088872764
23	1.0618692
24	1.038265764
25	1.015640331
26	0.9906701667
27	0.9666389989
28	0.9490089491
29	0.9301414287
30	0.9088869712
31	0.8888456101
32	0.872283349
33	0.8521248867
34	0.8352579355
35	0.8176531916
36	0.8007212048
37	0.7840676843
38	0.7671226827
39	0.753195226
40	0.7399889032
41	0.7247120436
42	0.7099699474
43	0.6954045317
44	0.6864601076
45	0.6728323943
46	0.6620310513
47	0.6501137389
48	0.6394143226
49	0.6274844015
50	0.6149322932
51	0.6045090898
52	0.5951418068
53	0.5852425725
54	0.5759696118
55	0.567838398
56	0.561154001
57	0.5529714283
58	0.5445310009
59	0.5370846086
60	0.529725157
61	0.5223368454
62	0.5153195417
63	0.5081011208
64	0.5006907997
65	0.4921832545
66	0.4859859157
67	0.4791087731
68	0.4735875594
69	0.4670748475
70	0.4616667215
71	0.4571330689
72	0.4493719932
73	0.4418418944
74	0.4362135541
75	0.4316683451
76	0.4265179098
77	0.422297271
78	0.4168687701
79	0.4109278089
80	0.405672311
81	0.4002388774
82	0.3954252852
83	0.3910812706
84	0.3867288682
85	0.3811910132
86	0.3768630425
87	0.3727485393
88	0.3690444424
89	0.3646748792
90	0.3616656476
91	0.3566228276
92	0.3532402309
93	0.3488947265
94	0.345336009
95	0.3414356213
96	0.3382307274
97	0.3343213003
98	0.3320346242
99	0.3300889449
100	0.3265187867
101	0.324572589
102	0.3194103216
103	0.3164801661
104	0.3134938365
105	0.3097473993
106	0.3080874919
107	0.3038103175
108	0.3007375435
109	0.2966385075
110	0.2956199851
111	0.2930519856
112	0.2922972546
113	0.2888879558
114	0.2883394729
115	0.2856006028
116	0.2818770057
117	0.28034571
118	0.2791073296
119	0.2776552586
120	0.2751596632
121	0.2715536124
122	0.2705983289
123	0.2703037854
124	0.2701448017
125	0.2699678803
126	0.2678258659
127	0.264198448
128	0.262195634
129	0.2595984963
130	0.2569905237
131	0.254866461
132	0.2520444463
133	0.2514022852
134	0.249898466
135	0.2487143884
136	0.2467444818
137	0.2449202352
138	0.2445143049
139	0.243092953
140	0.2420928454
141	0.2415379211
142	0.240273905
143	0.2394312158
144	0.2378418552
145	0.2356178721
146	0.2343307696
147	0.2326889308
148	0.230975734
149	0.2290193378
150	0.2279894777
151	0.2264940686
152	0.2264055713
153	0.2245297059
154	0.2233473519
155	0.2211328836
156	0.2199271429
157	0.2191950605
158	0.218414406
159	0.2174602271
160	0.2159978553
161	0.214190627
162	0.2128541196
163	0.2127508157
164	0.2114923434
165	0.2104503524
166	0.2103062144
167	0.2097009201
168	0.2077792251
169	0.2069930791
170	0.2063932407
171	0.2056884975
172	0.2047043467
173	0.2045295571
174	0.203761338
175	0.2029262422
176	0.2020204585
177	0.2013391119
178	0.2007044549
179	0.1995740205
180	0.1979307013
181	0.1970397978
182	0.1960582783
183	0.194861983
184	0.193975719
185	0.1938735995
186	0.1933131589
187	0.1920749408
188	0.1914414218
189	0.1910407039
190	0.1909143211
191	0.1907263726
192	0.1905913758
193	0.1893621614
194	0.1880356661
195	0.1874564136
196	0.1863824019
197	0.1856629257
198	0.1846215162
199	0.1836116286
200	0.1834956756
201	0.1834036829
202	0.1830867542
203	0.182560817
204	0.181796426
205	0.1807227074
206	0.1797035437
207	0.1789921819
208	0.178040907
209	0.1776725662
210	0.1773244551
211	0.1762158922
212	0.1752484274
213	0.1747043986
214	0.174243717
215	0.1740683669
216	0.1734937564
217	0.1729944898
218	0.1729080791
219	0.1724835392
220	0.1719999597
221	0.1712036644
222	0.1704053337
223	0.1699566638
224	0.1696510608
225	0.1688720794
226	0.1678723217
227	0.1672164358
228	0.1671385912
229	0.1667031027
230	0.1665192814
231	0.1659669644
232	0.1654408824
233	0.164279036
234	0.163884624
235	0.1634054971
236	0.1621772624
237	0.1618934692
238	0.1613380063
239	0.160841545
240	0.1603720493
241	0.1598197033
242	0.1592013392
243	0.1580139392
244	0.1569422306
245	0.1560953657
246	0.1553253334
247	0.1547467343
248	0.1545247571
249	0.1541240016
250	0.1532065656
251	0.1526129054
252	0.151921373
253	0.1515448094
254	0.1510466467
255	0.1503503023
256	0.1494893066
257	0.1492262744
258	0.1488881451
259	0.1486135811
260	0.1485200684
261	0.1481028911
262	0.14774395
263	0.1471637065
264	0.1469442556
265	0.1462704452
266	0.1459515168
267	0.1450443568
268	0.1441771091
269	0.1435565621
270	0.1427519004
271	0.1426147996
272	0.1420943119
273	0.1416310115
274	0.1412092917
275	0.1408596701
276	0.1405714563
277	0.1403921873
278	0.1397320344
279	0.1396303516
280	0.1392816515
281	0.1390341289
282	0.1387110413
283	0.1380284298
284	0.1379615969
285	0.1374380439
286	0.1370983551
287	0.1365781069
288	0.1360735175
289	0.135885974
290	0.1348961843
291	0.1343657249
292	0.1340474536
293	0.1334770329
294	0.132967815
295	0.1325990089
296	0.1321339335
297	0.131707699
298	0.1311042777
299	0.1310596556
300	0.1303429188
301	0.130026242
302	0.1299645221
303	0.1296422872
304	0.1291748032
305	0.1288303953
306	0.128176801
307	0.1275640837
308	0.127186536
309	0.1266687305
310	0.1263717806
311	0.1259829721
312	0.1256234078
313	0.125569304
314	0.1253017561
315	0.1245171628
316	0.123894043
317	0.123207384
318	0.1226978993
319	0.1220087105
320	0.1219523181
321	0.1216308959
322	0.1213150896
323	0.1212570309
324	0.1210612175
325	0.1209684106
326	0.1207175508
327	0.1200741307
328	0.1198205083
329	0.1194696222
330	0.1190862558
331	0.1187088902
332	0.1183778675
333	0.1182770081
334	0.1180152094
335	0.1175225921
336	0.117158302
337	0.1171013827
338	0.1167903048
339	0.1165405379
340	0.1160773096
341	0.1160253039
342	0.1159726916
343	0.1154868731
344	0.115247152
345	0.1149573159
346	0.1145960765
347	0.1141450388
348	0.1139013884
349	0.1138195238
350	0.1135772363
351	0.1133570772
352	0.1127602649
353	0.1126168136
354	0.1121874376
355	0.1118361118
356	0.11116076
357	0.1110689993
358	0.1108516625
359	0.1104886814
360	0.1102575189
361	0.1099867508
362	0.1098655929
363	0.1095086922
364	0.1089729004
365	0.1087168672
366	0.1083861671
367	0.1081808009
368	0.10782405
369	0.1071022032
370	0.1068963397
371	0.1063198282
372	0.1058789211
373	0.1056375742
374	0.1049881527
375	0.1047148925
376	0.1042010571
377	0.1040548103
378	0.1039158369
379	0.103726378
380	0.1034411137
381	0.1032623088
382	0.1032306548
383	0.1031804458
384	0.1026481423
385	0.1022528651
386	0.1019319914
387	0.1018888553
388	0.1018565358
389	0.1017401894
390	0.101297139
391	0.1010512736
392	0.1009294708
393	0.1007215903
394	0.1006569938
395	0.1004936927
396	0.1004234744
397	0.1001243162
398	0.09989381822
399	0.0997257909
400	0.09955054288
401	0.09951774412
402	0.09924168133
403	0.09895189189
404	0.09888121791
405	0.09877033934
406	0.09839468829
407	0.09831196864
408	0.098037533
409	0.09775603992
410	0.09768878378
411	0.09757327462
412	0.0971554917
413	0.09692469215
414	0.0964121698
415	0.09637877978
416	0.09624034943
417	0.09617455268
418	0.09614083156
419	0.09586713256
420	0.0954302463
421	0.09532152216
422	0.09519170812
423	0.09515309353
424	0.09483659356
425	0.09457073795
426	0.09428580286
427	0.09425452843
428	0.09412827066
429	0.09377152213
430	0.09356687584
431	0.09337575852
432	0.09334380404
433	0.09311055454
434	0.09290628648
435	0.09261336631
436	0.09227594989
437	0.09209387183
438	0.09191397529
439	0.09172349842
440	0.09150701879
441	0.09116942723
442	0.09080022413
443	0.09067149278
444	0.09019551913
445	0.0900597732
446	0.08985195447
447	0.08928047188
448	0.08885010235
449	0.08873846354
450	0.08852409906
451	0.08836583226
452	0.08811909272
453	0.08785259893
454	0.08757350158
455	0.08731074281
456	0.08709670315
457	0.08687532085
458	0.08670106131
459	0.0863127008
460	0.08607335022
461	0.08576065004
462	0.08561369091
463	0.08552948087
464	0.08540490052
465	0.08522246539
466	0.08505200683
467	0.0848836077
468	0.08475638471
469	0.08457057579
470	0.08454281475
471	0.08429957828
472	0.08423465547
473	0.08397447138
474	0.08373700662
475	0.0836422617
476	0.08340876548
477	0.08322569713
478	0.08318447042
479	0.08305182828
480	0.08282930002
481	0.0827467393
482	0.08248815051
483	0.08244886978
484	0.08229147735
485	0.08202758024
486	0.08194108997
487	0.08169736153
488	0.08166220423
489	0.08144614673
490	0.08131113131
491	0.08116770255
492	0.0810763764
493	0.08099950404
494	0.08057247276
495	0.08044394034
496	0.08007514559
497	0.07994331266
498	0.0798366208
499	0.0796506284
500	0.07954393838
501	0.07932832168
502	0.07922315117
503	0.07905367386
504	0.07899544702
505	0.07896961995
506	0.0789479865
507	0.07875585114
508	0.07845635861
509	0.07843252555
510	0.07838533652
511	0.07815075509
512	0.07793816875
513	0.07778227185
514	0.07759773301
515	0.0774968672
516	0.07722562642
517	0.07688994353
518	0.07649581381
519	0.0761180542
520	0.07604682105
521	0.07589861892
522	0.07577853726
523	0.07565198929
524	0.07534878277
525	0.07527652265
526	0.07514512367
527	0.07496404336
528	0.074866357
529	0.07476315243
530	0.07453137673
531	0.07429926898
532	0.07418378298
533	0.07394298944
534	0.07375273519
535	0.07362412144
536	0.0734824432
537	0.07336583328
538	0.07305796168
539	0.0729250683
540	0.07290757296
541	0.07278081338
542	0.07272531134
543	0.07250092425
